(10,35)
(120,69)
(187,15)
(220,47)
(351,20)
(402,31)
(468,16)
(551,38)
(634,55)
(673,5)
(717,30)
(833,37)
(871,41)
(24,106)
(117,124)
(151,130)
(345,130)
(419,137)
(480,72)
(515,137)
(611,127)
(645,85)
(741,100)
(861,107)
(960,133)
(21,187)
(72,150)
(171,184)
(281,184)
(341,155)
(364,200)
(440,158)
(586,211)
(692,172)
(736,150)
(787,206)
(928,213)
(937,204)
(63,261)
(126,224)
(206,232)
(251,267)
(350,266)
(401,235)
(499,224)
(578,268)
(659,273)
(767,249)
(807,277)
(869,260)
(950,238)
(6,314)
(113,287)
(176,324)
(234,305)
(288,331)
(454,315)
(504,300)
(628,350)
(651,325)
(778,304)
(850,304)
(901,297)
(59,357)
(77,365)
(174,396)
(259,365)
(336,420)
(405,362)
(483,407)
(551,381)
(607,373)
(651,416)
(773,395)
(846,385)
(872,401)
(964,359)
(8,487)
(136,458)
(169,488)
(272,448)
(341,493)
(426,483)
(469,446)
(514,441)
(634,480)
(679,457)
(752,468)
(832,476)
(893,485)
(941,454)
(19,531)
(95,533)
(186,529)
(268,557)
(297,520)
(381,559)
(467,534)
(532,557)
(632,552)
(712,562)
(727,546)
(838,508)
(895,557)
(949,567)
(54,603)
(94,579)
(149,572)
(260,597)
(316,593)
(402,611)
(458,625)
(540,636)
(576,574)
(644,572)
(729,623)
(853,637)
(884,617)
(946,608)
(52,653)
(134,680)
(179,690)
(251,665)
(322,646)
(385,665)
(440,654)
(521,653)
(588,663)
(659,657)
(754,662)
(838,691)
(923,679)
(945,683)
(12,773)
(115,763)
(151,755)
(334,779)
(375,783)
(456,721)
(538,751)
(616,767)
(682,774)
(758,719)
(814,760)
(877,726)
(970,783)
(56,788)
(124,811)
(147,853)
(276,835)
(335,844)
(360,844)
(468,834)
(543,813)
(640,804)
(706,795)
(724,788)
(849,855)
(857,791)
(943,798)
(19,894)
(92,888)
(207,867)
(223,895)
(302,880)
(359,878)
(474,906)
(503,907)
(628,915)
(679,920)
(717,874)
(801,867)
(863,867)
(253,953)
(323,946)
(412,993)
(447,929)
(501,948)
(578,975)
(671,941)
(780,959)
(806,934)
(904,937)
(962,998)
(871,772)
(854,946)
(638,359)
(682,155)
(550,173)
(624,252)
(959,844)
(196,974)
(118,974)
(50,982)
(259,728)
(347,337)
(223,107)
(930,22)
(818,148)
(950,307)
